x	y	z
		bcc_lattice_atom1
		Angstrom
0.0000	6.2832	6.2832
3.1416	9.4248	3.1416
6.2832	12.5664	0.0000
9.4248	15.7080	-3.1416
12.5664	18.8496	-6.2832
0.0000	0.0000	12.5664
3.1416	3.1416	9.4248
6.2832	6.2832	6.2832
9.4248	9.4248	3.1416
12.5664	12.5664	0.0000
15.7080	15.7080	-3.1416
3.1416	-3.1416	15.7080
6.2832	0.0000	12.5664
9.4248	3.1416	9.4248
12.5664	6.2832	6.2832
15.7080	9.4248	3.1416
18.8496	12.5664	0.0000
6.2832	-6.2832	18.8496
9.4248	-3.1416	15.7080
12.5664	0.0000	12.5664
15.7080	3.1416	9.4248
18.8496	6.2832	6.2832
21.9911	9.4248	3.1416
9.4248	-9.4248	21.9911
12.5664	-6.2832	18.8496
15.7080	-3.1416	15.7080
18.8496	0.0000	12.5664
21.9911	3.1416	9.4248
25.1327	6.2832	6.2832
-9.4248	9.4248	9.4248
-6.2832	12.5664	6.2832
-3.1416	15.7080	3.1416
0.0000	18.8496	0.0000
3.1416	21.9911	-3.1416
6.2832	25.1327	-6.2832
-6.2832	6.2832	12.5664
-3.1416	9.4248	9.4248
0.0000	12.5664	6.2832
3.1416	15.7080	3.1416
6.2832	18.8496	0.0000
9.4248	21.9911	-3.1416
-3.1416	3.1416	15.7080
0.0000	6.2832	12.5664
3.1416	9.4248	9.4248
6.2832	12.5664	6.2832
9.4248	15.7080	3.1416
12.5664	18.8496	0.0000
0.0000	0.0000	18.8496
3.1416	3.1416	15.7080
6.2832	6.2832	12.5664
9.4248	9.4248	9.4248
12.5664	12.5664	6.2832
15.7080	15.7080	3.1416
3.1416	-3.1416	21.9911
6.2832	0.0000	18.8496
9.4248	3.1416	15.7080
12.5664	6.2832	12.5664
15.7080	9.4248	9.4248
18.8496	12.5664	6.2832
6.2832	-6.2832	25.1327
9.4248	-3.1416	21.9911
12.5664	0.0000	18.8496
15.7080	3.1416	15.7080
18.8496	6.2832	12.5664
21.9911	9.4248	9.4248
-12.5664	12.5664	12.5664
-9.4248	15.7080	9.4248
-6.2832	18.8496	6.2832
-3.1416	21.9911	3.1416
0.0000	25.1327	0.0000
3.1416	28.2743	-3.1416
-9.4248	9.4248	15.7080
-6.2832	12.5664	12.5664
-3.1416	15.7080	9.4248
0.0000	18.8496	6.2832
3.1416	21.9911	3.1416
6.2832	25.1327	0.0000
-6.2832	6.2832	18.8496
-3.1416	9.4248	15.7080
0.0000	12.5664	12.5664
3.1416	15.7080	9.4248
6.2832	18.8496	6.2832
9.4248	21.9911	3.1416
-3.1416	3.1416	21.9911
0.0000	6.2832	18.8496
3.1416	9.4248	15.7080
6.2832	12.5664	12.5664
9.4248	15.7080	9.4248
12.5664	18.8496	6.2832
0.0000	0.0000	25.1327
3.1416	3.1416	21.9911
6.2832	6.2832	18.8496
9.4248	9.4248	15.7080
12.5664	12.5664	12.5664
15.7080	15.7080	9.4248
3.1416	-3.1416	28.2743
6.2832	0.0000	25.1327
9.4248	3.1416	21.9911
12.5664	6.2832	18.8496
15.7080	9.4248	15.7080
18.8496	12.5664	12.5664
-15.7080	15.7080	15.7080
-12.5664	18.8496	12.5664
-9.4248	21.9911	9.4248
-6.2832	25.1327	6.2832
-3.1416	28.2743	3.1416
0.0000	31.4159	0.0000
-12.5664	12.5664	18.8496
-9.4248	15.7080	15.7080
-6.2832	18.8496	12.5664
-3.1416	21.9911	9.4248
0.0000	25.1327	6.2832
3.1416	28.2743	3.1416
-9.4248	9.4248	21.9911
-6.2832	12.5664	18.8496
-3.1416	15.7080	15.7080
0.0000	18.8496	12.5664
3.1416	21.9911	9.4248
6.2832	25.1327	6.2832
-6.2832	6.2832	25.1327
-3.1416	9.4248	21.9911
0.0000	12.5664	18.8496
3.1416	15.7080	15.7080
6.2832	18.8496	12.5664
9.4248	21.9911	9.4248
-3.1416	3.1416	28.2743
0.0000	6.2832	25.1327
3.1416	9.4248	21.9911
6.2832	12.5664	18.8496
9.4248	15.7080	15.7080
12.5664	18.8496	12.5664
0.0000	0.0000	31.4159
3.1416	3.1416	28.2743
6.2832	6.2832	25.1327
9.4248	9.4248	21.9911
12.5664	12.5664	18.8496
15.7080	15.7080	15.7080
